Table 1. Illicit Drug Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023																
NOTE: Illicit drug use includes the misuse of prescription psychotherapeutics or the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.																
NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.																
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.																
Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.																
Order	State	12+ Estimate	12+ 95% CI (Lower)	12+ 95% CI (Upper)	12-17 Estimate	12-17 95% CI (Lower)	12-17 95% CI (Upper)	18-25 Estimate	18-25 95% CI (Lower)	18-25 95% CI (Upper)	26+ Estimate	26+ 95% CI (Lower)	26+ 95% CI (Upper)	18+ Estimate	18+ 95% CI (Lower)	18+ 95% CI (Upper)
1	Total U.S.	16.67%	16.25%	17.09%	7.26%	6.78%	7.77%	26.71%	25.83%	27.60%	16.21%	15.73%	16.70%	17.62%	17.17%	18.07%
2	Northeast	18.00%	17.19%	18.83%	7.43%	6.67%	8.27%	29.76%	28.06%	31.52%	17.34%	16.43%	18.29%	18.95%	18.09%	19.85%
3	Midwest	17.40%	16.74%	18.08%	7.47%	6.82%	8.18%	26.72%	25.40%	28.08%	17.10%	16.33%	17.90%	18.42%	17.70%	19.15%
4	South	14.26%	13.74%	14.79%	6.93%	6.36%	7.56%	23.32%	22.15%	24.52%	13.73%	13.13%	14.35%	15.02%	14.45%	15.60%
5	West	18.98%	18.19%	19.79%	7.49%	6.69%	8.38%	30.02%	28.27%	31.83%	18.61%	17.68%	19.59%	20.14%	19.29%	21.03%
6	Alabama	12.45%	10.76%	14.36%	6.27%	4.84%	8.10%	17.97%	14.94%	21.46%	12.29%	10.39%	14.49%	13.08%	11.26%	15.13%
7	Alaska	23.01%	20.37%	25.87%	6.52%	4.82%	8.76%	31.15%	26.75%	35.91%	23.96%	20.87%	27.36%	24.85%	21.97%	27.97%
8	Arizona	19.18%	16.78%	21.84%	7.88%	6.11%	10.10%	31.27%	26.82%	36.10%	18.56%	15.89%	21.58%	20.32%	17.74%	23.17%
9	Arkansas	16.39%	14.21%	18.84%	7.90%	6.06%	10.24%	24.83%	21.13%	28.94%	16.09%	13.64%	18.90%	17.31%	14.96%	19.93%
10	California	17.45%	16.20%	18.78%	7.11%	5.91%	8.54%	29.77%	27.02%	32.67%	16.75%	15.30%	18.31%	18.50%	17.15%	19.92%
